A monkey liked a dog that burned a plant .	monkey ( x _ 1 ) AND like . agent ( x _ 2 , x _ 1 ) AND like . theme ( x _ 2 , x _ 4 ) AND dog ( x _ 4 ) AND dog . nmod ( x _ 4 , x _ 6 ) AND burn . agent ( x _ 6 , x _ 4 ) AND burn . theme ( x _ 6 , x _ 8 ) AND plant ( x _ 8 )	like ( agent = monkey , theme = dog ( nmod = burn ( agent = dog , theme = plant ) ) )	
Emma gave the cake that was dusted by a girl to a professor .	* cake ( x _ 3 ) ; give . agent ( x _ 1 , Emma ) AND give . theme ( x _ 1 , x _ 3 ) AND give . recipient ( x _ 1 , x _ 12 ) AND cake . nmod ( x _ 3 , x _ 6 ) AND dust . theme ( x _ 6 , x _ 3 ) AND dust . agent ( x _ 6 , x _ 9 ) AND girl ( x _ 9 ) AND professor ( x _ 12 )	give ( agent = Emma , theme = * cake ( nmod = dust ( theme = * cake , agent = girl ) ) , recipient = professor )	
Olivia liked the sandwich that Liam gave to the fly .	* sandwich ( x _ 3 ) ; * fly ( x _ 9 ) ; like . agent ( x _ 1 , Olivia ) AND like . theme ( x _ 1 , x _ 3 ) AND sandwich . nmod ( x _ 3 , x _ 6 ) AND give . agent ( x _ 6 , Liam ) AND give . recipient ( x _ 6 , x _ 9 ) AND give . theme ( x _ 6 , x _ 3 )	like ( agent = Olivia , theme = * sandwich ( nmod = give ( agent = Liam , recipient = * fly , theme = * sandwich ) ) )	
A girl froze a child that sold the cake to the princess .	* cake ( x _ 8 ) ; * princess ( x _ 11 ) ; girl ( x _ 1 ) AND freeze . agent ( x _ 2 , x _ 1 ) AND freeze . theme ( x _ 2 , x _ 4 ) AND child ( x _ 4 ) AND child . nmod ( x _ 4 , x _ 6 ) AND sell . agent ( x _ 6 , x _ 4 ) AND sell . theme ( x _ 6 , x _ 8 ) AND sell . recipient ( x _ 6 , x _ 11 )	freeze ( agent = girl , theme = child ( nmod = sell ( agent = child , theme = * cake , recipient = * princess ) ) )	
A cat nursed a cake that Ava drew .	cat ( x _ 1 ) AND nurse . agent ( x _ 2 , x _ 1 ) AND nurse . theme ( x _ 2 , x _ 4 ) AND cake ( x _ 4 ) AND cake . nmod ( x _ 4 , x _ 7 ) AND draw . agent ( x _ 7 , Ava ) AND draw . theme ( x _ 7 , x _ 4 )	nurse ( agent = cat , theme = cake ( nmod = draw ( agent = Ava , theme = cake ) ) )	
Sophia rolled Mila that the girl grew .	* girl ( x _ 5 ) ; roll . agent ( x _ 1 , Sophia ) AND roll . theme ( x _ 1 , Mila ) AND Mila . nmod ( x _ 2 , x _ 6 ) AND grow . agent ( x _ 6 , x _ 5 ) AND grow . theme ( x _ 6 , Mila )	roll ( agent = Sophia , theme = Mila ( nmod = grow ( agent = * girl , theme = Mila ) ) )	
Mason said that a girl cleaned a cake that Jayden lended to Liam .	say . agent ( x _ 1 , Mason ) AND say . ccomp ( x _ 1 , x _ 5 ) AND girl ( x _ 4 ) AND clean . agent ( x _ 5 , x _ 4 ) AND clean . theme ( x _ 5 , x _ 7 ) AND cake ( x _ 7 ) AND cake . nmod ( x _ 7 , x _ 10 ) AND lend . agent ( x _ 10 , Jayden ) AND lend . recipient ( x _ 10 , Liam ) AND lend . theme ( x _ 10 , x _ 7 )	say ( agent = Mason , ccomp = clean ( agent = girl , theme = cake ( nmod = lend ( agent = Jayden , recipient = Liam , theme = cake ) ) ) )	
Oliver noticed that a frog liked the cat that the girl drew .	* cat ( x _ 7 ) ; * girl ( x _ 10 ) ; notice . agent ( x _ 1 , Oliver ) AND notice . ccomp ( x _ 1 , x _ 5 ) AND frog ( x _ 4 ) AND like . agent ( x _ 5 , x _ 4 ) AND like . theme ( x _ 5 , x _ 7 ) AND cat . nmod ( x _ 7 , x _ 11 ) AND draw . agent ( x _ 11 , x _ 10 ) AND draw . theme ( x _ 11 , x _ 7 )	notice ( agent = Oliver , ccomp = like ( agent = frog , theme = * cat ( nmod = draw ( agent = * girl , theme = * cat ) ) ) )	
A student disintegrated a donut that a girl split .	student ( x _ 1 ) AND disintegrate . agent ( x _ 2 , x _ 1 ) AND disintegrate . theme ( x _ 2 , x _ 4 ) AND donut ( x _ 4 ) AND donut . nmod ( x _ 4 , x _ 8 ) AND girl ( x _ 7 ) AND split . agent ( x _ 8 , x _ 7 ) AND split . theme ( x _ 8 , x _ 4 )	disintegrate ( agent = student , theme = donut ( nmod = split ( agent = girl , theme = donut ) ) )	
The tourist ate a scarf that was lended to Liam by William .	* tourist ( x _ 1 ) ; eat . agent ( x _ 2 , x _ 1 ) AND eat . theme ( x _ 2 , x _ 4 ) AND scarf ( x _ 4 ) AND scarf . nmod ( x _ 4 , x _ 7 ) AND lend . theme ( x _ 7 , x _ 4 ) AND lend . recipient ( x _ 7 , Liam ) AND lend . agent ( x _ 7 , William )	eat ( agent = * tourist , theme = scarf ( nmod = lend ( theme = scarf , recipient = Liam , agent = William ) ) )	
The girl liked that Emma broke a dog that a mouse burned .	* girl ( x _ 1 ) ; like . agent ( x _ 2 , x _ 1 ) AND like . ccomp ( x _ 2 , x _ 5 ) AND break . agent ( x _ 5 , Emma ) AND break . theme ( x _ 5 , x _ 7 ) AND dog ( x _ 7 ) AND dog . nmod ( x _ 7 , x _ 11 ) AND mouse ( x _ 10 ) AND burn . agent ( x _ 11 , x _ 10 ) AND burn . theme ( x _ 11 , x _ 7 )	like ( agent = * girl , ccomp = break ( agent = Emma , theme = dog ( nmod = burn ( agent = mouse , theme = dog ) ) ) )	
The bear rolled a dog that gave the glue to Emma .	* bear ( x _ 1 ) ; * glue ( x _ 8 ) ; roll . agent ( x _ 2 , x _ 1 ) AND roll . theme ( x _ 2 , x _ 4 ) AND dog ( x _ 4 ) AND dog . nmod ( x _ 4 , x _ 6 ) AND give . agent ( x _ 6 , x _ 4 ) AND give . theme ( x _ 6 , x _ 8 ) AND give . recipient ( x _ 6 , Emma )	roll ( agent = * bear , theme = dog ( nmod = give ( agent = dog , theme = * glue , recipient = Emma ) ) )	
Noah helped the mouse that meant to eat .	* mouse ( x _ 3 ) ; help . agent ( x _ 1 , Noah ) AND help . theme ( x _ 1 , x _ 3 ) AND mouse . nmod ( x _ 3 , x _ 5 ) AND mean . agent ( x _ 5 , x _ 3 ) AND mean . xcomp ( x _ 5 , x _ 7 ) AND eat . agent ( x _ 7 , x _ 3 )	help ( agent = Noah , theme = * mouse ( nmod = mean ( agent = * mouse , xcomp = eat ( agent = * mouse ) ) ) )	
Emma lended a frog the bean that was rolled by Liam .	* bean ( x _ 5 ) ; lend . agent ( x _ 1 , Emma ) AND lend . recipient ( x _ 1 , x _ 3 ) AND lend . theme ( x _ 1 , x _ 5 ) AND frog ( x _ 3 ) AND bean . nmod ( x _ 5 , x _ 8 ) AND roll . theme ( x _ 8 , x _ 5 ) AND roll . agent ( x _ 8 , Liam )	lend ( agent = Emma , recipient = frog , theme = * bean ( nmod = roll ( theme = * bean , agent = Liam ) ) )	
Olivia rolled a rose that was given to the human by a penguin .	* human ( x _ 9 ) ; roll . agent ( x _ 1 , Olivia ) AND roll . theme ( x _ 1 , x _ 3 ) AND rose ( x _ 3 ) AND rose . nmod ( x _ 3 , x _ 6 ) AND give . theme ( x _ 6 , x _ 3 ) AND give . recipient ( x _ 6 , x _ 9 ) AND give . agent ( x _ 6 , x _ 12 ) AND penguin ( x _ 12 )	roll ( agent = Olivia , theme = rose ( nmod = give ( theme = rose , recipient = * human , agent = penguin ) ) )	
Oliver hoped that a dog rolled the cake that was given to Ethan .	* cake ( x _ 7 ) ; hope . agent ( x _ 1 , Oliver ) AND hope . ccomp ( x _ 1 , x _ 5 ) AND dog ( x _ 4 ) AND roll . agent ( x _ 5 , x _ 4 ) AND roll . theme ( x _ 5 , x _ 7 ) AND cake . nmod ( x _ 7 , x _ 10 ) AND give . theme ( x _ 10 , x _ 7 ) AND give . recipient ( x _ 10 , Ethan )	hope ( agent = Oliver , ccomp = roll ( agent = dog , theme = * cake ( nmod = give ( theme = * cake , recipient = Ethan ) ) ) )	
A girl doubled the bear that Olivia ate .	* bear ( x _ 4 ) ; girl ( x _ 1 ) AND double . agent ( x _ 2 , x _ 1 ) AND double . theme ( x _ 2 , x _ 4 ) AND bear . nmod ( x _ 4 , x _ 7 ) AND eat . agent ( x _ 7 , Olivia ) AND eat . theme ( x _ 7 , x _ 4 )	double ( agent = girl , theme = * bear ( nmod = eat ( agent = Olivia , theme = * bear ) ) )	
Matthew knew a balloon that rolled .	know . agent ( x _ 1 , Matthew ) AND know . theme ( x _ 1 , x _ 3 ) AND balloon ( x _ 3 ) AND balloon . nmod ( x _ 3 , x _ 5 ) AND roll . theme ( x _ 5 , x _ 3 )	know ( agent = Matthew , theme = balloon ( nmod = roll ( theme = balloon ) ) )	
Emma ate a cake that was given to a girl by the chicken .	* chicken ( x _ 12 ) ; eat . agent ( x _ 1 , Emma ) AND eat . theme ( x _ 1 , x _ 3 ) AND cake ( x _ 3 ) AND cake . nmod ( x _ 3 , x _ 6 ) AND give . theme ( x _ 6 , x _ 3 ) AND give . recipient ( x _ 6 , x _ 9 ) AND give . agent ( x _ 6 , x _ 12 ) AND girl ( x _ 9 )	eat ( agent = Emma , theme = cake ( nmod = give ( theme = cake , recipient = girl , agent = * chicken ) ) )	
A monster cleaned a drink that Emma gave to the journalist .	* journalist ( x _ 10 ) ; monster ( x _ 1 ) AND clean . agent ( x _ 2 , x _ 1 ) AND clean . theme ( x _ 2 , x _ 4 ) AND drink ( x _ 4 ) AND drink . nmod ( x _ 4 , x _ 7 ) AND give . agent ( x _ 7 , Emma ) AND give . recipient ( x _ 7 , x _ 10 ) AND give . theme ( x _ 7 , x _ 4 )	clean ( agent = monster , theme = drink ( nmod = give ( agent = Emma , recipient = * journalist , theme = drink ) ) )	
Penelope froze the donut that was liked by Charlotte .	* donut ( x _ 3 ) ; freeze . agent ( x _ 1 , Penelope ) AND freeze . theme ( x _ 1 , x _ 3 ) AND donut . nmod ( x _ 3 , x _ 6 ) AND like . theme ( x _ 6 , x _ 3 ) AND like . agent ( x _ 6 , Charlotte )	freeze ( agent = Penelope , theme = * donut ( nmod = like ( theme = * donut , agent = Charlotte ) ) )	
The girl noticed a cracker that Natalie rolled .	* girl ( x _ 1 ) ; notice . agent ( x _ 2 , x _ 1 ) AND notice . theme ( x _ 2 , x _ 4 ) AND cracker ( x _ 4 ) AND cracker . nmod ( x _ 4 , x _ 7 ) AND roll . agent ( x _ 7 , Natalie ) AND roll . theme ( x _ 7 , x _ 4 )	notice ( agent = * girl , theme = cracker ( nmod = roll ( agent = Natalie , theme = cracker ) ) )	
A chief worshipped a cake that was shortened .	chief ( x _ 1 ) AND worship . agent ( x _ 2 , x _ 1 ) AND worship . theme ( x _ 2 , x _ 4 ) AND cake ( x _ 4 ) AND cake . nmod ( x _ 4 , x _ 7 ) AND shorten . theme ( x _ 7 , x _ 4 )	worship ( agent = chief , theme = cake ( nmod = shorten ( theme = cake ) ) )	
A butterfly froze the girl that a spokesman improved .	* girl ( x _ 4 ) ; butterfly ( x _ 1 ) AND freeze . agent ( x _ 2 , x _ 1 ) AND freeze . theme ( x _ 2 , x _ 4 ) AND girl . nmod ( x _ 4 , x _ 8 ) AND spokesman ( x _ 7 ) AND improve . agent ( x _ 8 , x _ 7 ) AND improve . theme ( x _ 8 , x _ 4 )	freeze ( agent = butterfly , theme = * girl ( nmod = improve ( agent = spokesman , theme = * girl ) ) )	
A girl said that the teacher liked the raisin that was rolled by the dog .	* teacher ( x _ 5 ) ; * raisin ( x _ 8 ) ; * dog ( x _ 14 ) ; girl ( x _ 1 ) AND say . agent ( x _ 2 , x _ 1 ) AND say . ccomp ( x _ 2 , x _ 6 ) AND like . agent ( x _ 6 , x _ 5 ) AND like . theme ( x _ 6 , x _ 8 ) AND raisin . nmod ( x _ 8 , x _ 11 ) AND roll . theme ( x _ 11 , x _ 8 ) AND roll . agent ( x _ 11 , x _ 14 )	say ( agent = girl , ccomp = like ( agent = * teacher , theme = * raisin ( nmod = roll ( theme = * raisin , agent = * dog ) ) ) )	
The baby froze a sandwich that Noah lended the girl .	* baby ( x _ 1 ) ; * girl ( x _ 9 ) ; freeze . agent ( x _ 2 , x _ 1 ) AND freeze . theme ( x _ 2 , x _ 4 ) AND sandwich ( x _ 4 ) AND sandwich . nmod ( x _ 4 , x _ 7 ) AND lend . agent ( x _ 7 , Noah ) AND lend . recipient ( x _ 7 , x _ 9 ) AND lend . theme ( x _ 7 , x _ 4 )	freeze ( agent = * baby , theme = sandwich ( nmod = lend ( agent = Noah , recipient = * girl , theme = sandwich ) ) )	
Noah liked Emma that Emily burned .	like . agent ( x _ 1 , Noah ) AND like . theme ( x _ 1 , Emma ) AND Emma . nmod ( x _ 2 , x _ 5 ) AND burn . agent ( x _ 5 , Emily ) AND burn . theme ( x _ 5 , Emma )	like ( agent = Noah , theme = Emma ( nmod = burn ( agent = Emily , theme = Emma ) ) )	
The boy liked a box that Liam gave to the priest .	* boy ( x _ 1 ) ; * priest ( x _ 10 ) ; like . agent ( x _ 2 , x _ 1 ) AND like . theme ( x _ 2 , x _ 4 ) AND box ( x _ 4 ) AND box . nmod ( x _ 4 , x _ 7 ) AND give . agent ( x _ 7 , Liam ) AND give . recipient ( x _ 7 , x _ 10 ) AND give . theme ( x _ 7 , x _ 4 )	like ( agent = * boy , theme = box ( nmod = give ( agent = Liam , recipient = * priest , theme = box ) ) )	
Harper gave a giraffe a cookie that a bird rolled .	give . agent ( x _ 1 , Harper ) AND give . recipient ( x _ 1 , x _ 3 ) AND give . theme ( x _ 1 , x _ 5 ) AND giraffe ( x _ 3 ) AND cookie ( x _ 5 ) AND cookie . nmod ( x _ 5 , x _ 9 ) AND bird ( x _ 8 ) AND roll . agent ( x _ 9 , x _ 8 ) AND roll . theme ( x _ 9 , x _ 5 )	give ( agent = Harper , recipient = giraffe , theme = cookie ( nmod = roll ( agent = bird , theme = cookie ) ) )	
Audrey gave Julian the cake that was lended to a boy .	* cake ( x _ 4 ) ; give . agent ( x _ 1 , Audrey ) AND give . recipient ( x _ 1 , Julian ) AND give . theme ( x _ 1 , x _ 4 ) AND cake . nmod ( x _ 4 , x _ 7 ) AND lend . theme ( x _ 7 , x _ 4 ) AND lend . recipient ( x _ 7 , x _ 10 ) AND boy ( x _ 10 )	give ( agent = Audrey , recipient = Julian , theme = * cake ( nmod = lend ( theme = * cake , recipient = boy ) ) )	
The girl packed the drink that changed .	* girl ( x _ 1 ) ; * drink ( x _ 4 ) ; pack . agent ( x _ 2 , x _ 1 ) AND pack . theme ( x _ 2 , x _ 4 ) AND drink . nmod ( x _ 4 , x _ 6 ) AND change . theme ( x _ 6 , x _ 4 )	pack ( agent = * girl , theme = * drink ( nmod = change ( theme = * drink ) ) )	
Emma rolled the girl that Michael cleaned .	* girl ( x _ 3 ) ; roll . agent ( x _ 1 , Emma ) AND roll . theme ( x _ 1 , x _ 3 ) AND girl . nmod ( x _ 3 , x _ 6 ) AND clean . agent ( x _ 6 , Michael ) AND clean . theme ( x _ 6 , x _ 3 )	roll ( agent = Emma , theme = * girl ( nmod = clean ( agent = Michael , theme = * girl ) ) )	
Jacob gave a raisin that was shortened to a teacher .	give . agent ( x _ 1 , Jacob ) AND give . theme ( x _ 1 , x _ 3 ) AND give . recipient ( x _ 1 , x _ 9 ) AND raisin ( x _ 3 ) AND raisin . nmod ( x _ 3 , x _ 6 ) AND shorten . theme ( x _ 6 , x _ 3 ) AND teacher ( x _ 9 )	give ( agent = Jacob , theme = raisin ( nmod = shorten ( theme = raisin ) ) , recipient = teacher )	
A cat served the creature the cake that was given to Caleb .	* creature ( x _ 4 ) ; * cake ( x _ 6 ) ; cat ( x _ 1 ) AND serve . agent ( x _ 2 , x _ 1 ) AND serve . recipient ( x _ 2 , x _ 4 ) AND serve . theme ( x _ 2 , x _ 6 ) AND cake . nmod ( x _ 6 , x _ 9 ) AND give . theme ( x _ 9 , x _ 6 ) AND give . recipient ( x _ 9 , Caleb )	serve ( agent = cat , recipient = * creature , theme = * cake ( nmod = give ( theme = * cake , recipient = Caleb ) ) )	
William rolled David that Liam liked .	roll . agent ( x _ 1 , William ) AND roll . theme ( x _ 1 , David ) AND David . nmod ( x _ 2 , x _ 5 ) AND like . agent ( x _ 5 , Liam ) AND like . theme ( x _ 5 , David )	roll ( agent = William , theme = David ( nmod = like ( agent = Liam , theme = David ) ) )	
Ella rolled the boy that preferred to paint .	* boy ( x _ 3 ) ; roll . agent ( x _ 1 , Ella ) AND roll . theme ( x _ 1 , x _ 3 ) AND boy . nmod ( x _ 3 , x _ 5 ) AND prefer . agent ( x _ 5 , x _ 3 ) AND prefer . xcomp ( x _ 5 , x _ 7 ) AND paint . agent ( x _ 7 , x _ 3 )	roll ( agent = Ella , theme = * boy ( nmod = prefer ( agent = * boy , xcomp = paint ( agent = * boy ) ) ) )	
Oliver liked a yogurt that was rolled by the girl .	* girl ( x _ 9 ) ; like . agent ( x _ 1 , Oliver ) AND like . theme ( x _ 1 , x _ 3 ) AND yogurt ( x _ 3 ) AND yogurt . nmod ( x _ 3 , x _ 6 ) AND roll . theme ( x _ 6 , x _ 3 ) AND roll . agent ( x _ 6 , x _ 9 )	like ( agent = Oliver , theme = yogurt ( nmod = roll ( theme = yogurt , agent = * girl ) ) )	
A girl froze a cake that rolled .	girl ( x _ 1 ) AND freeze . agent ( x _ 2 , x _ 1 ) AND freeze . theme ( x _ 2 , x _ 4 ) AND cake ( x _ 4 ) AND cake . nmod ( x _ 4 , x _ 6 ) AND roll . theme ( x _ 6 , x _ 4 )	freeze ( agent = girl , theme = cake ( nmod = roll ( theme = cake ) ) )	
A sailor broke the strawberry that Benjamin lended a girl .	* strawberry ( x _ 4 ) ; sailor ( x _ 1 ) AND break . agent ( x _ 2 , x _ 1 ) AND break . theme ( x _ 2 , x _ 4 ) AND strawberry . nmod ( x _ 4 , x _ 7 ) AND lend . agent ( x _ 7 , Benjamin ) AND lend . recipient ( x _ 7 , x _ 9 ) AND lend . theme ( x _ 7 , x _ 4 ) AND girl ( x _ 9 )	break ( agent = sailor , theme = * strawberry ( nmod = lend ( agent = Benjamin , recipient = girl , theme = * strawberry ) ) )	
Liam dusted the brush that Luna adored .	* brush ( x _ 3 ) ; dust . agent ( x _ 1 , Liam ) AND dust . theme ( x _ 1 , x _ 3 ) AND brush . nmod ( x _ 3 , x _ 6 ) AND adore . agent ( x _ 6 , Luna ) AND adore . theme ( x _ 6 , x _ 3 )	dust ( agent = Liam , theme = * brush ( nmod = adore ( agent = Luna , theme = * brush ) ) )	
Levi froze Emma that Noah rolled .	freeze . agent ( x _ 1 , Levi ) AND freeze . theme ( x _ 1 , Emma ) AND Emma . nmod ( x _ 2 , x _ 5 ) AND roll . agent ( x _ 5 , Noah ) AND roll . theme ( x _ 5 , Emma )	freeze ( agent = Levi , theme = Emma ( nmod = roll ( agent = Noah , theme = Emma ) ) )	
The cat loved a scientist that wanted to sneeze .	* cat ( x _ 1 ) ; love . agent ( x _ 2 , x _ 1 ) AND love . theme ( x _ 2 , x _ 4 ) AND scientist ( x _ 4 ) AND scientist . nmod ( x _ 4 , x _ 6 ) AND want . agent ( x _ 6 , x _ 4 ) AND want . xcomp ( x _ 6 , x _ 8 ) AND sneeze . agent ( x _ 8 , x _ 4 )	love ( agent = * cat , theme = scientist ( nmod = want ( agent = scientist , xcomp = sneeze ( agent = scientist ) ) ) )	
James sold the box that was noticed by a penguin to Emma .	* box ( x _ 3 ) ; sell . agent ( x _ 1 , James ) AND sell . theme ( x _ 1 , x _ 3 ) AND sell . recipient ( x _ 1 , Emma ) AND box . nmod ( x _ 3 , x _ 6 ) AND notice . theme ( x _ 6 , x _ 3 ) AND notice . agent ( x _ 6 , x _ 9 ) AND penguin ( x _ 9 )	sell ( agent = James , theme = * box ( nmod = notice ( theme = * box , agent = penguin ) ) , recipient = Emma )	
A boy liked that the kitty mailed Olivia the newspaper that was helped .	* kitty ( x _ 5 ) ; * newspaper ( x _ 9 ) ; boy ( x _ 1 ) AND like . agent ( x _ 2 , x _ 1 ) AND like . ccomp ( x _ 2 , x _ 6 ) AND mail . agent ( x _ 6 , x _ 5 ) AND mail . recipient ( x _ 6 , Olivia ) AND mail . theme ( x _ 6 , x _ 9 ) AND newspaper . nmod ( x _ 9 , x _ 12 ) AND help . theme ( x _ 12 , x _ 9 )	like ( agent = boy , ccomp = mail ( agent = * kitty , recipient = Olivia , theme = * newspaper ( nmod = help ( theme = * newspaper ) ) ) )	
